State,applicants_count,FullStateName
CA,244074,California
TX,128644,Texas
NY,107016,New York
NJ,84010,New Jersey
PA,80019,Pennsylvania
IL,75556,Illinois
FL,47233,Florida
GA,46771,Georgia
MA,46020,Massachusetts
WA,44433,Washington
VA,37631,Virginia
MI,35566,Michigan
NC,35566,North Carolina
OH,35445,Ohio
CT,23878,Connecticut
MN,19337,Minnesota
AZ,17971,Arizona
WI,17814,Wisconsin
MD,16681,Maryland
CO,14613,Colorado
MO,14367,Missouri
TN,12827,Tennessee
IN,12219,Indiana
OR,10566,Oregon
DE,6967,Delaware
SC,6932,South Carolina
KY,6451,Kentucky
UT,6369,Utah
AR,6310,Arkansas
IA,5685,Iowa
NE,4358,Nebraska
KS,4347,Kansas
NH,4183,New Hampshire
OK,3991,Oklahoma
RI,3841,Rhode Island
NV,3296,Nevada
LA,2930,Louisiana
AL,2765,Alabama
NM,1648,New Mexico
MS,1627,Mississippi
WV,1417,West Virginia
ME,1355,Maine
ID,1331,Idaho
VT,872,Vermont
ND,851,North Dakota
MT,840,Montana
HI,835,Hawaii
SD,700,South Dakota
AK,362,Alaska
WY,209,Wyoming